Datum;Auftritte;Ort
30.04.2020 <br> - Uhr;Maiblasen;Bruckhäusl, <br> Wörgl
01.05.2020 <br> - Uhr;Maiblasen;Bruckhäusl, <br> Wörgl
21.05.2020 <br> - Uhr;Erstkommunion;Bruckhäusl
06.06.2020 <br> - Uhr;Firmung;Bruckhäusl
11.06.2020 <br> - Uhr;Fronleichnam;Bruckhäusl
26.06.2020 <br> - Uhr;Platzkonzert <br>mit JUMU + Bläserklasse;Bruckhäusl
11.07.2020 <br> - Uhr;Stadtfest;Wörgl
15.07.2020 <br> - Uhr;Platzkonzert;Reha Häring
17.07.2020 <br> - Uhr;Platzkonzert;Kirchbichl
30.07.2020 <br> - Uhr;Platzkonzert;Breitenbach
02.08.2020 <br> - Uhr;Bezirksmusikfest;Ellmau
07.08.2020 <br> - Uhr;Platzkonzert;Wörgl
14.08.2020 <br> - Uhr;Platzkonzert;Wörgl
21.08.2020 <br> - Uhr;Platzkonzert;Kirchbichl
26.08.2020 <br> - Uhr;Platzkonzert;Reha Häring
02.09.2020 <br> - Uhr;Platzkonzert;Bruckhäusl
27.09.2020 <br> - Uhr;Erntedank;Bruckhäusl
24.10.2020 <br> - Uhr;Herbstkonzert;Bruckhäusl
20.11.2020 <br> - Uhr;Cäcilia;Bruckhäusl
